spec_id,file,pl_name,spec_type,authors,instrument,facility,bibcode,n_points,n_usable,wave_min,wave_max,obs_date_min,obs_date_max
181,00-00-58-91__GJ_3470_b_3.11524_3413_4.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,,Faulkes Telescope North,2014MNRAS.443.1810B,1,1,0.4326,0.4326,,
182,58-26-65-35__GJ_3470_b_3.11524_3571_1.tbl,GJ 3470 b,Transmission,Crossfield et al. 2013,MOSFIRE,W. M. Keck Observatory,2013A&A...559A..33C,6,6,2.11,2.335,,
183,20-25-03-13__GJ_3470_b_3.11524_3712_1.tbl,GJ 3470 b,Transmission,Dragomir et al. 2015,Fairchild CCD486 BI,LCOGT 2m telescope at Siding Springs Observatory,2015ApJ...814..102D,2,2,0.49,0.49,,
184,27-31-89-55__HAT_P_41_b_3.11534_4599_1.tbl,HAT-P-41 b,Transmission,Wakeford et al. 2020,Wide Field Camera 3,Hubble Space Telescope satellite,2020AJ....159..204W,59,59,0.205,0.785,,
185,17-11-56-84__WASP_67_b_3.11547_3450_1.tbl,WASP-67 b,Transmission,Mancini et al. 2014,TRAPPISTCam,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,2014A&A...568A.127M,1,1,0.838,0.838,,
186,10-51-04-15__WASP_57_b_3.11556_3659_3.tbl,WASP-57 b,Transmission,Southworth et al. 2015,DFOSC,Danish 1.54m telescope at European Southern Observatory,2015MNRAS.454.3094S,1,1,0.6489,0.6489,,
187,82-16-29-82__WASP_57_b_3.11556_3659_1.tbl,WASP-57 b,Transmission,Southworth et al. 2015,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2015MNRAS.454.3094S,4,4,0.477,0.9134,,
188,46-32-24-03__WASP_80_b_3.11585_3637_1.tbl,WASP-80 b,Transmission,Fukui et al. 2014,SIRIUS,Infrared Survey Facility,2014ApJ...790..108F,9,9,1.25,2.14,,
189,92-58-04-44__GJ_3470_b_3.11524_3413_2.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,2014MNRAS.443.1810B,3,3,0.4858,0.7886,,
190,69-07-41-00__GJ_3470_b_3.11524_3413_5.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,,Calar Alto observatory's 1.23m Telescope,2014MNRAS.443.1810B,1,1,0.7886,0.7886,,
191,82-56-96-89__GJ_3470_b_3.11524_3413_8.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,Mont4K CCD Imager,Steward Observatory's 1.5 meter Kuiper Telescope,2014MNRAS.443.1810B,1,1,0.7886,0.7886,,
192,05-10-04-98__GJ_3470_b_3.11524_3570_2.tbl,GJ 3470 b,Transmission,Fukui et al. 2013,ISLE,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,2013ApJ...770...95F,1,1,1.215,1.215,,
193,10-68-91-22__GJ_3470_b_3.11524_3572_1.tbl,GJ 3470 b,Transmission,Nascimbeni et al. 2013,LBC,Large Binocular Telescope Observatory,2013A&A...559A..32N,2,2,0.3575,0.9635,,
194,15-64-46-23__GJ_3470_b_3.11524_3712_2.tbl,GJ 3470 b,Transmission,Dragomir et al. 2015,Mont4k CCD,Steward Observatory's 1.5 meter Kuiper Telescope,2015ApJ...814..102D,2,2,0.437,0.545,,
195,82-32-40-45__GJ_3470_b_3.11524_3712_4.tbl,GJ 3470 b,Transmission,Dragomir et al. 2015,SBIG imager,LCOGT 1m telescope at McDonald Observatory,2015ApJ...814..102D,4,4,0.49,0.763,,
196,56-08-42-64__GJ_3470_b_3.11524_3890_2.tbl,GJ 3470 b,Transmission,Awiphan et al. 2016,ULTRASPEC,Thai National Observatory's 2.4m Telescope,2016MNRAS.463.2574A,4,4,0.4858,0.9222,,
197,11-46-54-90__GJ_3470_b_3.11524_4359_2.tbl,GJ 3470 b,Transmission,Benneke et al. 2019,Wide Field Camera 3,Hubble Space Telescope satellite,2019NatAs...3..813B,18,18,1.135,1.645,,
198,02-28-01-25__GJ_3470_b_3.11524_4359_4.tbl,GJ 3470 b,Transmission,Benneke et al. 2019,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,2019NatAs...3..813B,8,8,0.552,0.895,,
199,79-82-89-66__WASP_67_b_3.11547_3450_2.tbl,WASP-67 b,Transmission,Mancini et al. 2014,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2014A&A...568A.127M,4,4,0.459,0.8989,,
200,45-50-57-30__WASP_67_b_3.11547_4121_1.tbl,WASP-67 b,Eclipse,Kammer et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...810..118K,2,2,3.6,4.5,,
201,87-47-21-70__CoRoT_1_b_3.10951_4099_1.tbl,CoRoT-1 b,Eclipse,Zhao et al. 2012,Wide-field InfraRed Camera (WIRC),California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,2012ApJ...744..122Z,1,1,1.635,1.635,,
202,03-27-70-04__GJ_1214_b_3.10969_3574_1.tbl,GJ 1214 b,Transmission,C&aacute;ceres et al. 2014,OSIRIS,The Southern Astrophysical Research Telescope,2014A&A...565A...7C,1,1,2.14,2.14,,
203,60-32-98-27__GJ_1214_b_3.10969_3643_1.tbl,GJ 1214 b,Transmission,Narita et al. 2013,SIRIUS,Infrared Survey Facility,2013PASJ...65...27N,3,3,1.25,2.14,,
204,65-62-26-12__GJ_1214_b_3.10969_3669_1.tbl,GJ 1214 b,Transmission,Nascimbeni et al. 2015,LBC,Large Binocular Telescope Observatory,2015A&A...579A.113N,2,2,0.5,0.775,,
205,62-22-42-73__HAT_P_12_b_3.10993_3415_1.tbl,HAT-P-12 b,Transmission,Line et al. 2013,Wide Field Camera 3,Hubble Space Telescope satellite,2013ApJ...778..183L,23,23,1.108,1.627,,
206,05-61-54-57__HAT_P_12_b_3.10993_3717_1.tbl,HAT-P-12 b,Transmission,Sing et al. 2016,Wide Field Camera 3,Hubble Space Telescope satellite,2016Natur.529...59S,12,12,1.132,1.6424,,
207,25-15-52-34__HAT_P_13_b_3.10994_4188_1.tbl,HAT-P-13 b,Eclipse,Hardy et al. 2017,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2017ApJ...836..143H,2,2,3.6,4.5,,
208,36-71-60-63__HAT_P_16_b_3.10998_3417_1.tbl,HAT-P-16 b,Transmission,Pearson et al. 2014,Mont4k CCD,Steward Observatory's 1.5 meter Kuiper Telescope,2014NewA...27..102P,1,1,0.36,0.36,,
209,27-76-38-66__HAT_P_1_b_3.11003_3647_1.tbl,HAT-P-1 b,Transmission,Montalto et al. 2015,DOLORES,Telescopio Nazionale Galileo,2015ApJ...811...55M,5,5,0.5253,0.7666,,
210,09-76-11-36__HAT_P_26_b_3.11010_4163_2.tbl,HAT-P-26 b,Transmission,Wakeford et al. 2017,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2017Sci...356..628W,2,2,3.6,4.5,,
211,40-28-82-27__HAT_P_32_b_3.11017_3792_1.tbl,HAT-P-32 b,Transmission,Nortmann et al. 2016,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,2016A&A...594A..65N,20,20,0.528,0.908,,
212,39-12-94-22__HAT_P_8_b_3.11027_3155_1.tbl,HAT-P-8 b,Eclipse,Todorov et al. 2012,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2012ApJ...746..111T,2,2,3.6,4.5,,
213,97-39-15-28__TrES_3_b_3.11431_3153_1.tbl,TrES-3 b,Eclipse,Christiansen et al. 2011,High Resolution Imager (HRI),Deep Impact spacecraft,2011ApJ...726...94C,1,1,0.65,0.65,,
214,94-67-07-55__WASP_12_b_3.11441_3579_2.tbl,WASP-12 b,Transmission,Stevenson et al. 2014,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2014AJ....147..161S,2,2,3.6,4.5,,
215,07-79-92-43__WASP_17_b_3.11446_3717_1.tbl,WASP-17 b,Transmission,Sing et al. 2016,Wide Field Camera 3,Hubble Space Telescope satellite,2016Natur.529...59S,12,12,1.1319,1.6423,,
216,16-63-04-19__WASP_18_b_3.11447_4180_1.tbl,WASP-18 b,Eclipse,Arcangeli et al. 2018,Wide Field Camera 3,Hubble Space Telescope satellite,2018ApJ...855L..30A,14,14,1.156,1.583,,
217,89-02-04-94__XO_2_N_b_3.11481_4246_1.tbl,XO-2 N b,Transmission,Pearson et al. 2019,GMOS,Association of Universities for Research in Astronomy (AURA) 8.1m Frederick C. Gillett Gemini North Telescope at Mauna Kea Observatory,2019AJ....157...21P,60,60,0.3951,0.6316,,
