target,planet,visit,det,n_int,e,w_deg,eccen_assumed,partial_flag,spot_flag,seg_step_flag,seg_step_z,t0_bmjd,depth_ppm,k,aRs,b,q1,q2,ramp_model,t14_h,sigma_ppm,chi2_red_sym,bic_linear,bic_quad,bic_quad_exp,box_depth_ppm,spot_z,dd_ppm,dd_err_boot_ppm,beta,dd_err_ppm,dd_sigma,p_value,dbic_asym,k_in,k_eg,mb_n,mb_z,mb_p_chi2,mb_p_sign,dd_ld_sens_ppm,dd_mcmc_ppm,dd_mcmc_err_ppm,sigma_cal_ppm,sigma_cal_resid_ppm,ul95_abs_dd_ppm,dd_err_cal_ppm,dd_sigma_cal,p_value_cal,significant
TOI-1685,TOI-1685 b,jw04195001001,nrs1,1032,0.0,90.0,0,0,0,0,0.5403910739083977,60369.46710607165,687.3832678930925,0.0262179951158186,5.566410143584168,0.3147808091621986,0.0222983736148472,0.9365054175787446,quad,0.9031133361859248,474.8833249355785,1.0252533582603405,1162.5173859653005,1105.3734704269204,1111.279500676929,885.7474286892985,2.417167039309517,117.78051332814164,82.9621698337365,1.4636055534538404,121.4238924952374,0.9699945447948916,0.3320492113101795,4.068296931756095,0.0250633215667389,0.0273120962448125,105.0,1.728077451532269,0.9972700464006682,0.0784850273390179,0.0360584172482845,,,77.91283762963086,86.14088240145253,245.9471312288844,77.91283762963086,1.5116958502785784,0.13061125479213306,False
TOI-1685,TOI-1685 b,jw04195001001,nrs2,1032,0.0,90.0,0,0,0,0,0.4024980004570686,60369.46690588995,643.6253442040431,0.0253697722536889,5.61958608955481,0.3236744354277397,0.1325543636902123,0.9962094014491908,quad,0.8910125603433698,752.7871945677346,1.0777152059175812,1177.4069381190652,1159.0944024279352,1159.657738091348,914.616320549344,3.169477938344868,194.4146126811653,79.19473340024999,1.0,79.19473340024999,2.4548932022865,0.0140926449132463,4.254257350900161,0.0234598007582512,0.0272906002920055,104.0,1.8155952602272645,0.8913119278035281,0.1409562882123078,0.4952916629833623,160.4521204606871,116.72623891477352,125.01690960354766,105.09996371299468,400.0674289790012,125.01690960354766,1.5551065315699366,0.11992069964890498,False
TOI-1685,TOI-1685 b,jw04195002001,nrs1,1032,0.0,90.0,0,0,0,0,0.0399201739443779,60371.47453745934,699.6125049191764,0.0264501891282307,5.303797056712432,0.2690464333650117,0.6943516480161577,0.2140820212182433,quad_exp,0.9616050015902148,456.6729077684956,1.0126699782298194,1135.3495217896452,1114.7803923675997,1104.3412572112904,803.2518477371076,2.901788020493486,-70.50866062234779,53.9022584946897,1.0,53.9022584946897,-1.3080836052406617,0.1908449535827244,4.46512575859515,0.0276479647932631,0.0263420063128679,112.0,-1.0657928048971657,0.8748319672959297,0.2191311474977842,-1.1814118190278151,,,40.48301188775228,63.35413056398679,137.1032151777003,40.48301188775228,-1.7416851497573345,0.08156355243126236,False
TOI-1685,TOI-1685 b,jw04195002001,nrs2,1032,0.0,90.0,0,0,0,0,1.6726182006563042,60371.4741524071,604.0092111996116,0.0245765988533729,5.372549982895018,0.3078280937177636,0.4954109273934113,0.4811716943756098,quad,0.936581175774336,634.2048277730653,1.1414070890305164,1241.4529793182005,1224.3148907355808,1235.0338170657817,803.0799424895152,3.1130457066454515,114.69786759989228,113.14677606468712,1.2083632551620047,136.72240663661174,0.8389105372080126,0.4015195142955368,4.873244038283929,0.0237573788094817,0.0260597566277412,109.0,1.3206316049656075,0.2714469282566633,0.1250045413258333,2.320337050702008,,,85.98873841779128,102.27490538614803,256.1493422971589,85.98873841779128,1.3338708034372209,0.18224620159240223,False
TOI-1685,TOI-1685 b,jw04195003001,nrs1,1032,0.0,90.0,0,0,0,0,0.078261435384639,60365.45135573879,760.7879238264833,0.0275823843027843,5.607067333727637,0.3197881602555228,0.0216465418664187,0.9908474847146445,quad,0.8963433054741472,426.0759827100183,1.0809114711036854,1177.7483779287654,1162.3673779785058,1173.492408754046,938.717879765294,3.5449060625965263,62.36417295747828,53.28165412186726,1.0,53.28165412186726,1.1704624037166194,0.2418149353964104,6.26884701493168,0.02694333910731,0.0280768177543143,104.0,0.9381645152182764,0.9952120408800832,0.624143515844679,-0.7533073214788502,,,60.86861784018229,63.396260554337054,162.49304930457814,60.86861784018229,1.0245702164820425,0.3055660237175898,False
TOI-1685,TOI-1685 b,jw04195003001,nrs2,1032,0.0,90.0,0,0,0,0,0.2385599128988689,60365.451971395385,698.0096327249358,0.0264198719286247,5.656972725889195,0.3279278918762678,0.010724163760624,0.0003001621429446,quad,0.8847919857362285,652.8010043202635,1.0917226922933367,1211.7950462429728,1173.4380684767088,1186.1730706056085,781.9658533468887,2.26775197603166,119.56679773507447,130.13428922997767,1.2973954842389817,168.83563919162256,0.7081845889147276,0.4788306351576696,4.9245491176777705,0.0253307107500751,0.0275900653286477,103.0,1.4270004175778424,0.7241696442135969,0.1144682420125579,-0.8289692997853138,,,133.50771200789242,134.9814121091409,339.18698398805753,133.50771200789242,0.8955797079947425,0.37047727735831104,False
TOI-1685,TOI-1685 b,jw04195104001,nrs1,1032,0.0,90.0,0,0,0,0,2.329630699165159,60554.14947080407,718.57447358154,0.0268062394524398,5.550514440389611,0.3075054267503284,0.0123514825894318,0.0031803933750342,quad,0.9084150174167008,446.3301633997843,1.1833802663580872,1289.5503909123945,1267.2954243190134,1279.1583552466957,934.8219281991588,2.959378149746929,-112.5825387593239,108.33869091440506,1.476262031302959,159.93629591800303,-0.7039211338059453,0.4814818894237336,4.251649656824839,0.0279709792934482,0.0258803621279762,105.0,-1.8631382864161647,0.7208858981122365,0.2414317175651771,-1.4909535586427864,,,86.21415930979713,92.42201049264364,254.4048308239402,86.21415930979713,-1.305847434581785,0.19160444537439703,False
TOI-1685,TOI-1685 b,jw04195104001,nrs2,1032,0.0,90.0,0,0,0,0,0.1017941945108401,60554.149585528365,722.0357283831323,0.0268707225132323,5.289190119433166,0.3008543918720771,0.1861461850003948,0.0542419122207923,quad,0.9559918132144958,819.0671237548333,0.8665074103341597,955.160232854303,942.8176197505117,954.7103967054215,987.1313220820576,3.009783805074913,222.2816364886132,86.02919222577404,1.103718206500612,94.9519857501277,2.3409898669582505,0.0192326890960031,3.1598239671411648,0.0244840542376399,0.02866619173173,111.0,1.699775252879758,0.9750697862122654,0.0363064911413178,-6.973187699441667,190.01421671245828,103.21610350389712,64.22747320223155,100.62815604414796,327.9358299062841,64.22747320223155,3.4608497797931452,0.0005384731973141687,False
TOI-776,TOI-776 c,jw02512003001,nrs1,3636,0.089,7.0,0,0,1,0,1.880987397677224,60075.96822061004,1166.5669983300927,0.0341550435269828,40.4095334622841,0.2814788096224758,0.0862934330673769,4.194591533346695e-05,quad_exp,2.90423877176363,394.2338511232855,1.1139238973455183,7073.065175183181,4677.877078474407,4121.074446327822,1146.447331745515,4.129231311990023,-65.32285257505161,18.774743163303675,1.0092407064011488,18.94823505263274,-3.4474373150640965,0.0005659317176481,-0.0330915005997667,0.0347068073979364,0.0337526240044001,722.0,-2.321360046897469,0.494043516938345,0.3920283323903506,-1.4924585575544145,-69.01427113364706,24.311342045254808,31.30633778241629,22.07566091946009,116.8217782271264,31.30633778241629,-2.0865695958772044,0.036927058034204194,False
TOI-776,TOI-776 c,jw02512003001,nrs2,3636,0.089,7.0,0,0,0,0,0.3442710187242826,60075.96834119151,873.7770524380669,0.0295597201008072,40.11924390848664,0.306789907437896,0.0204519117935723,0.1659540495312915,quad_exp,2.8890401732060127,609.9167102617017,1.1053442948420589,4935.021583201957,4090.898728661184,4089.964807650279,1323.9044322685966,2.77793218235454,16.044109585419946,217.2466770360211,3.737814550481568,812.0277904690096,0.0197580794324209,0.9842363591159224,7.958551944287592,0.0294101950558235,0.0296817061977072,718.0,0.32727128621095,0.9999999346615708,0.4332292120547754,-0.2479442270598078,,,124.78888773879645,184.79997851231724,221.32182991574007,124.78888773879645,0.12857001834172038,0.8976978912624696,False
TOI-776,TOI-776 c,jw02512004001,nrs1,3636,0.089,7.0,0,0,0,0,2.249032235322932,60091.63411171365,1150.3845166739304,0.0339173188308558,39.98333708326276,0.2900894201849809,0.1538004864736614,0.158226536291981,quad_exp,2.927173417119775,405.5742026668827,1.0383247670085207,5847.831570600989,4317.8047758636,3846.95199972587,1154.0635392979225,3.945421577511725,0.0,11.52641950060449,1.0,11.52641950060449,0.0,1.0,8.198639455297325,0.0339173188308558,0.0339173188308558,727.0,0.0874196493721314,0.8068546680030236,0.7667165593612776,0.0,,,18.890191423009902,13.370942699072602,31.074364890851296,18.890191423009902,0.0,1.0,False
TOI-776,TOI-776 c,jw02512004001,nrs2,3636,0.089,7.0,0,0,0,0,1.25883349545129,60091.63338940913,813.6384371305011,0.0285243481455843,40.21634104340971,0.3592425591832454,2.648160549403273e-07,2.511128039314038e-12,quad,2.82624163501896,629.7776765691424,1.0350660514685848,4512.91253403804,3843.979508296338,3857.5904570620382,1186.6621911198472,2.846721035400026,-49.69587728130424,201.97290133751324,3.539628189141276,714.9089750169115,-0.0695135730812844,0.9445808290317684,6.277600256189999,0.0289831880057296,0.0281127961913106,702.0,-1.3417409886715248,0.99758588421252,0.2737094596870614,-0.3451705865683152,,,197.3954220324065,190.74244612026888,374.41134652461295,197.3954220324065,-0.25175800314733565,0.801228120514528,False
TOI-776,TOI-776 b,jw02512005001,nrs1,3288,0.052,45.0,0,0,0,0,2.4692763547054266,60104.78619011461,635.9896470858591,0.0252188351651272,25.695311373911288,0.2609352837084409,0.0019835420232645,8.620949169591418e-05,quad_exp,2.3421934140496887,395.48155643310247,1.0951107021035662,4545.913283789316,3729.303094867412,3670.753229057251,1123.8626559907373,2.6296193938720944,6.647641580784301,85.26499314465877,2.425604696145288,206.8191677884801,0.0321422895753213,0.974358578614847,7.943724846517853,0.0251613188116927,0.0252930742679577,582.0,0.5622843248824111,0.4634981025318747,0.4309703630342652,0.5188584021538531,,,85.38997397482073,73.83724026155807,147.1141487693644,85.38997397482073,0.07785037600250957,0.9379470737552595,False
TOI-776,TOI-776 b,jw02512005001,nrs2,3288,0.052,45.0,0,0,0,0,0.5414676228685458,60104.78577991914,613.6593100648552,0.0247721478694289,25.775984810798143,0.2334504702536035,0.3110678311415529,0.0017883436307483,quad_exp,2.3498430226463825,603.7325845473525,1.053008779355418,3933.4162312051153,3579.2902565308063,3532.7431262888203,1030.0266454682517,3.2291650803834275,10.383156317706268,123.32181696149836,2.517604603896688,310.475574143173,0.0334427477793089,0.973321520914511,8.01150422759929,0.0246679421069436,0.0248775104081825,584.0,0.3984536055191768,0.9997716719571348,1.0,0.490399687202407,,,146.16309981967103,129.18902473300383,250.8214555210651,146.16309981967103,0.0710381507406213,0.9433673922735855,False
TOI-776,TOI-776 b,jw02512006001,nrs1,3288,0.052,45.0,0,0,0,0,0.4393280874959033,60088.29198853358,964.5060694802016,0.0310564980234443,25.565332142987977,0.2819918972632176,0.0020366244350498,1.0,quad_exp,2.354815301543568,407.95959480607087,1.0128729438568058,4460.27244205692,3563.080268402278,3401.1778575243707,1194.980140068247,3.05707203797192,4.200244099877349,33.69298891484057,1.214457650271353,40.91870814813603,0.1026485021147639,0.9182419470010524,8.040918429099293,0.0310193665472716,0.0310869963987175,585.0,0.0869773482939244,0.9012274937327006,0.8686632529059601,-0.0044204924391078,,,41.9038559071147,36.25581605155333,73.13208706708105,41.9038559071147,0.10023526496434436,0.9201575495909072,False
TOI-776,TOI-776 b,jw02512006001,nrs2,3288,0.052,45.0,0,0,0,0,1.4420517024850878,60088.291538986654,685.8958745623879,0.0261896138681422,25.932868199264966,0.2393634795364861,5.528368367731711e-09,3.90210481012441e-10,quad_exp,2.3357546738698147,582.500871404996,1.1011601738618084,4170.07927689933,3748.200747389908,3690.583397480769,1000.2948606594452,3.103508271010756,-10.329907237196828,92.69103650474248,1.550933825751886,143.75766385920798,-0.0718563933211493,0.9427161933842552,8.014580392373318,0.0262772344772435,0.0260799375868662,580.0,-0.1596338887441935,0.9975885301702948,0.8355529533810061,-0.0739771631193662,,,44.69033573080566,80.24307703931032,83.84550951437214,44.69033573080566,-0.2311440956590595,0.8172028591341484,False
