target,planet,visit,det,bin,wave_lo_um,wave_hi_um,n_fits,sigma_cal_ppm,sigma_resid_ppm,bias_slope,dd_obs_ppm,cal_vs_boot,ul95_abs_dd_ppm
K2-18,K2-18 b,jw02372004001,nrs1,0,2.861827924598608,2.96926872211858,40,97.19250224593266,82.98743932532034,0.9913935964297377,-42.75556902738446,1.6279241310259416,202.63723522194368
K2-18,K2-18 b,jw02372004001,nrs1,1,2.96926872211858,3.0767095196385523,40,104.04452502238699,135.5455838832567,0.9902056808466939,30.86292646422347,0.8295989383901692,202.01617012605007
K2-18,K2-18 b,jw02372004001,nrs1,2,3.0767095196385523,3.184150317158524,40,98.72790590976624,97.64095175381216,1.0977518486080853,35.44358646653898,0.9367069279616222,197.85099168810444
K2-18,K2-18 b,jw02372004001,nrs1,3,3.184150317158524,3.2915911146784964,40,43.33468743874861,67.1889628068705,0.9337010297247689,93.20907715565114,0.46018465456385194,164.4946379923926
K2-18,K2-18 b,jw02372004001,nrs1,4,3.2915911146784964,3.399031912198468,40,54.38855456873886,49.73193938586098,0.9098514620858331,103.1153928418762,0.9328273167334102,192.58456510745162
K2-18,K2-18 b,jw02372004001,nrs1,5,3.399031912198468,3.50647270971844,40,38.9907427471296,37.89183192022055,1.0442651810106494,93.38655224652236,0.7418160028429069,157.52632406555057
K2-18,K2-18 b,jw02372004001,nrs1,6,3.50647270971844,3.613913507238412,40,41.75838806511628,38.391192320354065,0.9405323366461337,50.622010034596585,1.1343139531596447,119.31455840171286
K2-18,K2-18 b,jw02372004001,nrs1,7,3.613913507238412,3.721354304758384,40,116.30418772421966,100.71227207723786,0.9382039366717091,58.611188960772026,1.143102725995654,249.93157776711337
K2-18,K2-18 b,jw02372004001,nrs2,0,3.82032238134822,3.990077357424214,40,58.214106443592634,54.215678628520955,0.9956759452730495,40.400819762850816,1.0027911338010436,136.1630248625607
K2-18,K2-18 b,jw02372004001,nrs2,1,3.990077357424214,4.1598323335002085,40,21.911652766662904,25.749321375919862,1.0879497179318705,36.05921893749158,0.7574067560423005,72.10388773865205
K2-18,K2-18 b,jw02372004001,nrs2,2,4.1598323335002085,4.329587309576203,40,51.150133390397514,55.171754271546654,1.028070753397824,50.91687640537386,0.7178511815550699,135.0588458325778
K2-18,K2-18 b,jw02372004001,nrs2,3,4.329587309576203,4.499342285652197,40,61.08432521167108,70.90838126631583,1.1153089199628619,5.164681204690956,0.5726835065897907,105.64839617788988
K2-18,K2-18 b,jw02372004001,nrs2,4,4.499342285652197,4.669097261728191,40,96.93111285750342,95.47932996683129,0.9693999327277146,-39.6961009697756,0.9798284665981585,199.14778162036873
K2-18,K2-18 b,jw02372004001,nrs2,5,4.669097261728191,4.838852237804185,40,261.42266494210526,227.21906495679352,0.8487289802329695,21.51461425314448,0.9891715614616171,451.55489808290764
K2-18,K2-18 b,jw02372004001,nrs2,7,5.00860721388018,5.178362189956174,40,338.9461971790268,418.1137195159493,0.8173159972197203,766.8946334722342,0.7436561183867586,1324.4611278317334
K2-18,K2-18 b,jw02372005001,nrs1,0,2.861886311387701,2.969305802669837,40,76.32737117450148,90.68593315698378,1.0392143968412073,-5.074559639137426,0.7593803176314862,130.63308522119237
K2-18,K2-18 b,jw02372005001,nrs1,1,2.969305802669837,3.0767252939519727,40,83.48700141502033,76.99372274961287,1.1685228092898707,10.75625222117689,0.8700103734028504,148.09236954888533
K2-18,K2-18 b,jw02372005001,nrs1,2,3.0767252939519727,3.1841447852341087,40,62.668992998936915,52.888418520847324,0.913344020404129,83.20417718962963,1.5728125262322215,186.29467067288084
K2-18,K2-18 b,jw02372005001,nrs1,3,3.1841447852341087,3.2915642765162447,40,102.45242960456285,93.43077674043879,0.9612763783703617,23.560152447461064,1.1806464735393365,192.09439914696696
K2-18,K2-18 b,jw02372005001,nrs1,4,3.2915642765162447,3.3989837677983807,40,48.98764072190673,50.29985565658903,0.9717264740048812,-2.7993037813984176,0.8379024082860418,83.383972768935
K2-18,K2-18 b,jw02372005001,nrs1,5,3.3989837677983807,3.5064032590805168,40,44.84618618225192,46.74055765484884,0.9991450859090691,7.262612757151944,0.8150263334755954,81.03458902695635
K2-18,K2-18 b,jw02372005001,nrs1,6,3.5064032590805168,3.613822750362652,40,28.96872565774819,33.215537225432136,0.9651449299123546,26.69248224935724,0.757985281239549,74.346035956353
K2-18,K2-18 b,jw02372005001,nrs1,7,3.613822750362652,3.721242241644788,40,76.14033856491805,72.56180234511658,0.8750957389388724,159.76239464543474,1.0358895164743902,285.0132515847249
K2-18,K2-18 b,jw02372005001,nrs2,0,3.820190663027152,3.989911370303823,40,84.32839011068772,104.29260399111045,1.1194771228767537,35.49140253995093,1.391508376743843,174.21160427203225
K2-18,K2-18 b,jw02372005001,nrs2,1,3.989911370303823,4.159632077580494,40,24.11152774387968,27.725586521469612,0.9551433760300383,29.3531055975088,0.7101436906963914,69.01656873619088
K2-18,K2-18 b,jw02372005001,nrs2,2,4.159632077580494,4.329352784857166,40,45.069581386094605,38.17131204953892,0.8229109068157141,12.006652339422669,1.0180832284889114,86.1461137195483
K2-18,K2-18 b,jw02372005001,nrs2,3,4.329352784857166,4.499073492133837,40,151.08213592128385,150.76631539689228,0.9043964095825685,-93.8911986168782,0.8750716227255488,342.42131220739014
K2-18,K2-18 b,jw02372005001,nrs2,4,4.499073492133837,4.668794199410509,40,135.56444281333754,131.54712836292208,0.9564673016454919,-40.18629468518446,1.0180364892164995,263.1898031131247
