planet,det,bin,wave_lo_um,wave_hi_um,band,n_fits,dd_ppm,err_ppm,z,p,fdr_pass
TOI-776 b,nrs2,7,5.007662273009848,5.177388175514275,cont,1,236.16798912179289,380.26388365708783,0.6210634227224248,0.5345578944150731,False
TOI-776 c,nrs1,0,2.861493050972169,2.9689180615271766,cont,2,-17.58539922593355,69.8311416639862,-0.2518274627465072,0.8011744290450548,False
TOI-776 c,nrs1,1,2.9689180615271766,3.0763430720821847,cont,2,-38.0156613305639,57.19110883003187,-0.6647127867994986,0.5062342137314946,False
TOI-776 c,nrs1,2,3.0763430720821847,3.183768082637193,cont,2,-29.061585934372953,93.98613501158506,-0.309211416458297,0.7571607100899429,False
TOI-776 c,nrs1,3,3.183768082637193,3.2911930931922004,CH4,2,-123.86068514095983,126.16702253501302,-0.9817199665355252,0.3262378260728802,False
TOI-776 c,nrs1,4,3.2911930931922004,3.398618103747208,CH4,2,-96.71433147916461,80.46513888442598,-1.2019407760928336,0.22938647463683648,False
TOI-776 c,nrs1,5,3.398618103747208,3.506043114302216,cont,2,-68.5564783383748,34.674358775401274,-1.9771520154832747,0.04802444967411838,False
TOI-776 c,nrs1,6,3.506043114302216,3.613468124857224,cont,2,-59.94888562647211,39.75890552346143,-1.5078102587883544,0.13160309579024582,False
TOI-776 c,nrs1,7,3.613468124857224,3.720893135412232,cont,2,-8.3810570069487,40.27431093391227,-0.2080993271542625,0.8351514125129416,False
TOI-776 c,nrs2,0,3.819846811472352,3.989576792564478,cont,2,-4.610122897327356,27.767574465420942,-0.1660254086315086,0.8681369544676829,False
TOI-776 c,nrs2,1,3.989576792564478,4.159306773656604,cont,2,-37.983120927851346,23.970697934873638,-1.5845646643684834,0.1130652787043741,False
TOI-776 c,nrs2,2,4.159306773656604,4.32903675474873,CO2,2,-4.070953798306667,55.68454667700177,-0.07310742461315589,0.9417206334840478,False
TOI-776 c,nrs2,3,4.32903675474873,4.498766735840856,CO2,2,134.41178343532746,57.92181267380892,2.3205728072130203,0.02030991122628231,False
TOI-776 c,nrs2,4,4.498766735840856,4.668496716932982,CO,2,116.75445946645956,42.88077936306178,2.7227690634520934,0.006473729357483241,False
TOI-776 c,nrs2,5,4.668496716932982,4.838226698025107,cont,2,273.6049449702245,156.99449871731406,1.742767722472113,0.08137419660947925,False
