dd_ppm,dd_err_boot_ppm,k_in,k_eg,depth_ppm,ramp_model,sigma_ppm,chi2_red,n_pts,target,planet,visit,det,bin,wave_lo_um,wave_hi_um,spot_flag,dd_white_ppm,sigma_cal_ppm,sigma_resid_ppm,bias_slope,z_cal,p_cal,fdr_pass,band,ul95_ppm
22.372366973355888,78.66974371134756,0.047457808545462,0.0476929340564311,2263.193500184305,quad,465.0928898906415,1.050446159410059,814,GJ-1132,GJ 1132 b,jw01981021001,nrs2,3,4.329933196519741,4.499672927304721,0,158.12116456575012,58.58376395617746,81.46355737731062,1.0094949680735443,0.3818868140683337,0.7025453212465633,False,CO2,118.74265868126781
68.83769018312634,87.70294969396092,0.0470686985974834,0.047794351945014,2248.86483640332,quad,522.9908069862063,1.1666284128983826,814,GJ-1132,GJ 1132 b,jw01981021001,nrs2,4,4.499672927304721,4.669412658089702,0,158.12116456575012,95.91898098874064,81.17336256363033,0.8868841185898922,0.7176649446599812,0.4729639029461179,False,CO,226.6244139096047
240.2353921113166,165.28222628922006,0.0426264390074851,0.0453569034940676,1934.701375194043,quad,1431.179168699667,1.135436441788131,814,GJ-1132,GJ 1132 b,jw01981021001,nrs2,5,4.669412658089702,4.839152388874682,0,158.12116456575012,166.61555849544337,203.28373231616496,1.061105552097281,1.441854495946647,0.14934342544534945,False,cont,514.317985836321
91.3906763315574,89.36803289411571,0.0489472883553707,0.0498721135874084,2439.9924924542934,quad,417.8398793937074,1.0453851076201028,814,GJ-1132,GJ 1132 b,jw01981022001,nrs1,0,2.8618027027535105,2.969235448967721,0,97.34866736868042,39.96553999179957,57.51681695809036,1.0220219568651403,2.2867369326251974,0.02221118260941374,False,cont,157.1339896180677
57.67383230851362,79.26852073744315,0.0490065512762974,0.0495914902004858,2429.616122015679,quad,342.9059249967506,1.1002970917499806,814,GJ-1132,GJ 1132 b,jw01981022001,nrs1,1,2.969235448967721,3.076668195181932,0,97.34866736868042,87.10418406771198,68.94343053417948,1.0232404660217025,0.6621247064742589,0.5078913031285438,False,cont,200.96021509989984
26.408163193877584,72.89037862624022,0.0494627357283753,0.0497289693129565,2459.321297298475,quad,324.7778124955648,1.0484854499625191,814,GJ-1132,GJ 1132 b,jw01981022001,nrs1,2,3.076668195181932,3.1841009413961423,0,97.34866736868042,86.01058031802542,76.02428694840265,0.8939726283902187,0.3070338916006961,0.7588175755312278,False,cont,167.8955678170294
-76.36427108845267,56.71033726269528,0.0503733564317939,0.0496095834201024,2500.0454654806995,quad,312.6166003597664,1.0878389601758018,814,GJ-1132,GJ 1132 b,jw01981022001,nrs1,3,3.1841009413961423,3.291533687610353,0,97.34866736868042,59.189330108590646,50.27932615756771,1.076672780126778,-1.2901695448884507,0.19699179778955722,False,CH4,173.73071911708428
-44.38257055272695,47.4684072949345,0.0497246546623913,0.0492763504202711,2450.8423542928017,quad,338.6378650922873,1.0920288462753465,814,GJ-1132,GJ 1132 b,jw01981022001,nrs1,4,3.291533687610353,3.3989664338245635,0,97.34866736868042,48.36036314566405,50.25424596861546,1.1258839732160169,-0.9177468419549338,0.3587514180975412,False,CH4,123.93536792734432
13.74585771258055,47.849148030477984,0.0490776282674099,0.0492174710246946,2415.216540966984,quad,362.3511564003356,0.884617826032596,814,GJ-1132,GJ 1132 b,jw01981022001,nrs1,5,3.3989664338245635,3.506399180038774,0,97.34866736868042,41.78627356918649,46.74099777540266,0.9892367448125188,0.3289562944592611,0.7421887231201334,False,cont,82.48427773389233
-45.20422333031265,34.72947947273308,0.0493162807224374,0.0488558217714526,2409.802211885979,linear,368.5815735414577,0.9051612922802428,814,GJ-1132,GJ 1132 b,jw01981022001,nrs1,6,3.506399180038774,3.6138319262529848,0,97.34866736868042,33.0517630251566,29.862772243990644,1.052629073727246,-1.367679639234569,0.1714123758891889,False,cont,99.57437350669527
