target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
TOI-1685,jw04195002001,nrs2,5,4.668423031470428,4.838144376263904,257,1032,1883.856814505002
TOI-1685,jw04195002001,nrs2,6,4.838144376263904,5.00786572105738,258,1032,78787.01366663557
TOI-1685,jw04195002001,nrs2,7,5.00786572105738,5.177587065850856,260,1032,5608.44164733557
TOI-1685,jw04195003001,nrs1,0,2.8617391449464544,2.9690742420659344,159,1032,655.7889421594131
TOI-1685,jw04195003001,nrs1,1,2.9690742420659344,3.0764093391854144,158,1032,616.7824358146702
TOI-1685,jw04195003001,nrs1,2,3.0764093391854144,3.1837444363048943,158,1032,605.0353878463545
TOI-1685,jw04195003001,nrs1,3,3.1837444363048943,3.291079533424374,159,1032,628.3806007851423
TOI-1685,jw04195003001,nrs1,4,3.291079533424374,3.3984146305438543,159,1032,591.3123384756898
TOI-1685,jw04195003001,nrs1,5,3.3984146305438543,3.505749727663334,159,1032,578.1013566569603
TOI-1685,jw04195003001,nrs1,6,3.505749727663334,3.613084824782814,159,1032,590.6528438927962
TOI-1685,jw04195003001,nrs1,7,3.613084824782814,3.7204199219022938,160,1032,563.4909060972642
TOI-1685,jw04195003001,nrs2,0,3.8193688902793013,3.98909116483544,254,1032,545.9007453485654
TOI-1685,jw04195003001,nrs2,1,3.98909116483544,4.158813439391579,253,1032,689.6622018676632
TOI-1685,jw04195003001,nrs2,2,4.158813439391579,4.328535713947718,255,1032,820.4967082657632
TOI-1685,jw04195003001,nrs2,3,4.328535713947718,4.498257988503857,255,1032,1013.216166907696
TOI-1685,jw04195003001,nrs2,4,4.498257988503857,4.667980263059997,256,1032,1137.726141622721
TOI-1685,jw04195003001,nrs2,5,4.667980263059997,4.837702537616135,257,1032,1474.9714571968614
TOI-1685,jw04195003001,nrs2,6,4.837702537616135,5.007424812172275,258,1032,12382.486108622896
TOI-1685,jw04195003001,nrs2,7,5.007424812172275,5.1771470867284135,260,1032,6270.683338301163
TOI-1685,jw04195104001,nrs1,0,2.8618463819786517,2.969370875383745,159,1032,690.9565519028155
TOI-1685,jw04195104001,nrs1,1,2.969370875383745,3.0768953687888385,158,1032,656.8078485092606
TOI-1685,jw04195104001,nrs1,2,3.0768953687888385,3.184419862193932,159,1032,671.4075995476405
TOI-1685,jw04195104001,nrs1,3,3.184419862193932,3.291944355599025,159,1032,665.216385089465
TOI-1685,jw04195104001,nrs1,4,3.291944355599025,3.3994688490041183,159,1032,618.4811125944564
TOI-1685,jw04195104001,nrs1,5,3.3994688490041183,3.5069933424092117,159,1032,609.3172661965154
TOI-1685,jw04195104001,nrs1,6,3.5069933424092117,3.614517835814305,160,1032,583.5847024120548
TOI-1685,jw04195104001,nrs1,7,3.614517835814305,3.7220423292193985,160,1032,514.1742322714906
TOI-1685,jw04195104001,nrs2,0,3.8210092623375362,3.9907616588798955,254,1032,603.7373938045328
TOI-1685,jw04195104001,nrs2,1,3.9907616588798955,4.160514055422255,253,1032,745.264441039257
TOI-1685,jw04195104001,nrs2,2,4.160514055422255,4.330266451964614,255,1032,933.1512853129692
TOI-1685,jw04195104001,nrs2,3,4.330266451964614,4.500018848506974,255,1032,1137.0039523356324
TOI-1685,jw04195104001,nrs2,4,4.500018848506974,4.669771245049333,256,1032,1193.1323132128566
TOI-1685,jw04195104001,nrs2,5,4.669771245049333,4.8395236415916925,257,1032,2214.3891597256193
TOI-1685,jw04195104001,nrs2,6,4.8395236415916925,5.009276038134052,258,1032,106207.64292401537
TOI-1685,jw04195104001,nrs2,7,5.009276038134052,5.179028434676411,260,1032,6538.193751709922
TOI-776,jw02512003001,nrs1,0,2.861493050972169,2.9689180615271766,159,3636,628.433550005983
TOI-776,jw02512003001,nrs1,1,2.9689180615271766,3.0763430720821847,158,3636,594.9041308894235
TOI-776,jw02512003001,nrs1,2,3.0763430720821847,3.183768082637193,159,3636,580.2239075444476
TOI-776,jw02512003001,nrs1,3,3.183768082637193,3.2911930931922004,158,3636,608.1298680230167
TOI-776,jw02512003001,nrs1,4,3.2911930931922004,3.398618103747208,159,3636,575.8966054729214
TOI-776,jw02512003001,nrs1,5,3.398618103747208,3.506043114302216,160,3636,574.3889520782939
