target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
TOI-1685,jw03263001001,nrs2,6,4.837898569737941,5.007621224561394,258,4450,114715.32433807115
TOI-1685,jw03263001001,nrs2,7,5.007621224561394,5.177343879384847,260,4450,6006.534450846045
TOI-1685,jw04195001001,nrs1,0,2.8619452180618055,2.969280119346575,159,1032,675.9864820095845
TOI-1685,jw04195001001,nrs1,1,2.969280119346575,3.076615020631345,158,1032,648.1437884428345
TOI-1685,jw04195001001,nrs1,2,3.076615020631345,3.1839499219161147,158,1032,643.416069674203
TOI-1685,jw04195001001,nrs1,3,3.1839499219161147,3.2912848232008844,159,1032,648.1815340030718
TOI-1685,jw04195001001,nrs1,4,3.2912848232008844,3.398619724485654,159,1032,640.8365812190361
TOI-1685,jw04195001001,nrs1,5,3.398619724485654,3.505954625770424,159,1032,643.2175250760451
TOI-1685,jw04195001001,nrs1,6,3.505954625770424,3.6132895270551937,159,1032,605.9806836004242
TOI-1685,jw04195001001,nrs1,7,3.6132895270551937,3.7206244283399634,160,1032,552.4642961702891
TOI-1685,jw04195001001,nrs2,0,3.8195732507346043,3.989295016665008,254,1032,623.7966017290819
TOI-1685,jw04195001001,nrs2,1,3.989295016665008,4.159016782595411,253,1032,794.1400301321654
TOI-1685,jw04195001001,nrs2,2,4.159016782595411,4.3287385485258145,255,1032,956.3061105420281
TOI-1685,jw04195001001,nrs2,3,4.3287385485258145,4.498460314456218,255,1032,1194.6818383604052
TOI-1685,jw04195001001,nrs2,4,4.498460314456218,4.668182080386622,256,1032,1296.84947685697
TOI-1685,jw04195001001,nrs2,5,4.668182080386622,4.837903846317025,257,1032,1608.6588119144235
TOI-1685,jw04195001001,nrs2,6,4.837903846317025,5.007625612247429,258,1032,12079.195699183074
TOI-1685,jw04195001001,nrs2,7,5.007625612247429,5.177347378177832,260,1032,5316.407444452296
TOI-1685,jw04195002001,nrs1,0,2.8615103233790617,2.9689299817875265,159,1032,663.3123683963895
TOI-1685,jw04195002001,nrs1,1,2.9689299817875265,3.0763496401959913,158,1032,601.9507603827838
TOI-1685,jw04195002001,nrs1,2,3.0763496401959913,3.183769298604456,159,1032,620.655860938094
TOI-1685,jw04195002001,nrs1,3,3.183769298604456,3.291188957012921,158,1032,632.8798827978505
TOI-1685,jw04195002001,nrs1,4,3.291188957012921,3.3986086154213857,159,1032,604.067754613344
TOI-1685,jw04195002001,nrs1,5,3.3986086154213857,3.5060282738298505,160,1032,565.1794321742336
TOI-1685,jw04195002001,nrs1,6,3.5060282738298505,3.6134479322383153,159,1032,581.16258627048
TOI-1685,jw04195002001,nrs1,7,3.6134479322383153,3.72086759064678,160,1032,552.5678862008596
TOI-1685,jw04195002001,nrs2,0,3.819816307503048,3.989537652296524,254,1032,576.7382050192546
TOI-1685,jw04195002001,nrs2,1,3.989537652296524,4.15925899709,253,1032,651.0147286478419
TOI-1685,jw04195002001,nrs2,2,4.15925899709,4.328980341883476,255,1032,841.3062065131343
TOI-1685,jw04195002001,nrs2,3,4.328980341883476,4.498701686676952,255,1032,1033.596253991444
TOI-1685,jw04195002001,nrs2,4,4.498701686676952,4.668423031470428,256,1032,1080.6850564807332
