pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant
HR 8799 c,Direct Imaging,1558,1592,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,2015.0,2015.0,-1.3616018642194175e-19,5.377689091117233e-20,2516.2818214032454,2014.0,1.0040938646478476e-13,1.2493951446888012,-1.380359568995922e-19,1.723243383083201e-19,9.567962904808006e-14,1.2496970599660915,False,
WASP-80 b,Transmission,112,1062,Kirk et al. 2018,Sedaghati et al. 2017,ACAM,FORS2,False,unknown,True,11.0,0.0,0.11607657698262815,0.009745489796540965,79.51122255196778,10.0,6.259134688515489e-13,7.951122255196777,-2.5860552676421125,0.3208019790614092,0.10474523029064964,1.6142175310944011,False,True
TOI-260 b,Transmission,1760,1763,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,104.0,104.0,-0.0028026102263153593,0.0004197167417357077,239.47325833011993,103.0,7.034918082455799e-13,2.3249830905836886,0.008067434875972264,0.0007648284161926777,0.040594467181340785,1.2569830576445578,False,True
TOI-5205 b,Transmission,1603,1605,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,-0.009869434541608556,0.002471226051612088,710.8512399091783,468.0,2.7245462433808167e-12,1.5189129057888424,0.0011905197204301167,0.002448216587432389,2.2916011660173395e-12,1.5216590391650826,False,True
GJ 1132 b,Transmission,404,524,Swain et al. 2021,Mugnai et al. 2021,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,24.0,0.0,-0.010591658829843786,0.00092052022036158,102.88226310401936,23.0,4.458864921925197e-12,4.473141874087799,0.03910289714391075,0.006395477822148707,3.3118310659598214e-06,2.9772481296061746,False,True
TOI-5205 b,Transmission,1599,1604,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.015655819259763094,0.0018133165012885451,700.3804816604895,468.0,1.657119925155447e-11,1.4965394907275418,-0.01052456422177424,0.001842407367606909,2.750520832291259e-09,1.429869358412897,False,True
WASP-18 b,Eclipse,258,260,Sheppard et al. 2017,Coulombe et al. 2023,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,29.0,0.0,0.006625644009778006,0.0008164141598892069,108.36088821301898,28.0,2.1450175445173072e-11,3.870031721893535,0.04668670062357225,0.005552838357631057,0.08320552353150822,1.3952281985492636,False,True
WASP-33 b,Eclipse,293,650,Haynes et al. 2015,Changeat et al. 2022,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,11.0,0.0,0.0005359906486984024,0.001034480321729569,69.48797932950322,10.0,5.566609083685725e-11,6.948797932950322,-0.04486914852548527,0.007828483212398348,3.0539500076933205e-05,4.0708442919273296,False,True
WASP-121 b,Eclipse,611,1771,Changeat et al. 2022,Pelletier et al. 2026,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,38.0,0.0,0.001820708673969288,0.0007518731039996696,121.11389503581788,37.0,7.19302062748172e-11,3.2733485144815644,0.022956631779591723,0.00371655186079889,1.4316518503791126e-05,2.3044516159038912,False,True
HD 189733 b,Transmission,261,262,Sing et al. 2016,Barnes et al. 2016,Space Telescope Imaging Spectrograph,HARPS Echelle Spectrograph,False,unknown,True,11.0,10.0,-0.8693616550788138,0.03855184496296344,67.53393254056552,10.0,1.3239883896944874e-10,6.753393254056552,-3.2824674270450895,0.41156995120477613,0.9162362061514726,0.4361855777353074,False,True
WASP-18 b,Eclipse,258,259,Sheppard et al. 2017,Coulombe et al. 2023,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,29.0,0.0,0.00657836282623182,0.0008145851583955803,102.68130038497263,28.0,1.8534144309961474e-10,3.6671892994633084,0.04596723427717228,0.005494158801636835,0.20777057998017295,1.2104406655176134,False,True
WASP-107 b,Transmission,765,901,Sing et al. 2024,Murphy et al. 2024,Near Infrared Spectrograph (NIRSpec),Near Infrared Camera (NIRCam),False,unknown,True,24.0,1.0,-0.016339412710899934,0.0011735284786978143,91.75384901550912,23.0,3.602476715192192e-10,3.989297783283005,-0.02499444492824694,0.0038301459135627216,0.0007586336345837685,2.2349490064980033,False,True
TOI-5205 b,Transmission,1603,1606,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,-0.007637719827364722,0.0025197222935425256,681.5639482034292,468.0,3.7396823216015697e-10,1.4563332226569,-0.008553367619150666,0.002570303249611023,1.794845085577442e-09,1.4357385910644225,False,True
TOI-776 b,Transmission,950,953,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,105.0,105.0,-0.0028802368508182965,0.000460189569233249,217.26190209324744,104.0,5.422851140201557e-10,2.08905675089661,0.006657478303567007,0.0008370898619057829,0.0008475731617062662,1.4952402224753072,False,True
WASP-39 b,Transmission,77,871,Feinstein et al. 2023,Rustamkulov et al. 2023,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,73.0,73.0,-0.01223488450363643,0.0014234798177034434,170.24021555556257,72.0,6.224022544549202e-10,2.3644474382717022,0.0022925380508572253,0.0025471930563727603,5.06151242741483e-10,2.386340424177286,False,True
TOI-5205 b,Transmission,1603,1604,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0001375414471100629,0.0021903219631896004,677.739426871367,468.0,6.901567775481963e-10,1.4481611685285618,-0.009916563353866278,0.0021926154835889794,1.3552695065862714e-08,1.407461506819425,False,True
HR 8799 e,Direct Imaging,818,1562,Doelman et al. 2022,Ruffio et al. 2026,LMIRCam/ALES,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,46.0,46.0,-6.296605742575863e-17,1.418990097486122e-18,127.42873018169571,45.0,8.262588992642802e-10,2.8317495595932383,9.752128293565355e-18,8.158554943704209e-18,7.736457519164555e-10,2.863634710672247,False,
HR 8799 e,Direct Imaging,818,1596,Doelman et al. 2022,Xuan et al. 2026,LMIRCam/ALES,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,39.0,39.0,-6.32286566556565e-17,1.5289576092133562e-18,112.3042639064987,38.0,2.8744947614675166e-09,2.955375365960492,-1.1133312407459338e-18,1.078078763878142e-17,1.6245778879692289e-09,3.0349621412698564,False,
TOI-776 b,Transmission,950,951,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,106.0,106.0,-0.0028705493776200737,0.00045507673659007616,210.8442308618162,105.0,4.296952549640129e-09,2.008040293922059,0.006010765564182641,0.0008213692387592517,0.0005800061462356882,1.5124169777296632,False,True
HD 209458 b,Eclipse,268,599,Knutson et al. 2008,Changeat et al. 2022,Infrared Array Camera (IRAC),Infrared Array Camera (IRAC),True,unknown,True,4.0,4.0,-0.018229034606782,0.00870375563428184,41.37285573091552,3.0,5.450506691305928e-09,13.790951910305173,-0.01706783760029839,0.0065799239881842095,2.999601933991942e-08,17.32220115275753,False,True
HD 209458 b,Eclipse,46,268,Diamond-Lowe et al. 2014,Knutson et al. 2008,Infrared Array Camera (IRAC),Infrared Array Camera (IRAC),True,unknown,True,4.0,4.0,0.018229034606782,0.00870375563428184,41.37285573091552,3.0,5.450506691305928e-09,13.790951910305173,0.01706783760029839,0.0065799239881842095,2.999601933991942e-08,17.32220115275753,False,True
TYC 8998-760-1 b,Direct Imaging,1565,1567,Hoch et al. 2025,Hoch et al. 2025,Mid-Infrared Instrument (MIRI),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,4.0,4.0,-2.2795623204642798e-18,2.5532156038680367e-19,39.06580199253575,3.0,1.6808379561594295e-08,13.021933997511915,2.5106742485209007e-17,5.406567012382412e-18,0.00015835097793674788,8.75069660920616,False,
WASP-18 b,Eclipse,258,481,Sheppard et al. 2017,Coulombe et al. 2023,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,29.0,0.0,0.008242725117748704,0.0008758108576364954,90.42968766293279,28.0,1.6984109913545293e-08,3.2296317022475995,0.044467985358560565,0.005860193287947944,0.20207287278383862,1.2166582114209437,False,True
TOI-5205 b,Transmission,1599,1606,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.008222207365027701,0.00219793164578258,655.5269346927785,468.0,2.0989161707952495e-08,1.4006985784033728,-0.009614654834009582,0.002274748073140614,2.311858539039767e-07,1.3654433120032579,False,True
GJ 1132 b,Transmission,404,522,Swain et al. 2021,Libby-Roberts et al. 2022,Wide Field Camera 3,WFC3,False,unknown,True,22.0,1.0,-0.00990624120343513,0.0009997925011496853,74.43801439288217,21.0,6.714486146994064e-08,3.544667352042008,0.044359835538060575,0.007283928205436961,0.010624499022457877,1.8674361256245906,False,True
HD 97658 b,Transmission,664,1620,Edwards et al. 2023,Guo et al. 2020,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,24.0,0.0,-0.009110086199006627,0.000385604481907229,75.8924720896535,23.0,1.4490851825683155e-07,3.2996726995501517,-0.017750190716475864,0.0029416962544437336,0.012415153520368484,1.7946970218192126,False,True
WASP-39 b,Transmission,828,871,Carter et al. 2024,Rustamkulov et al. 2023,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,51.0,51.0,-0.008436123835021632,0.001473669403506674,118.80065256402825,50.0,1.578329059789159e-07,2.376013051280565,0.014063395729625443,0.002891177268197062,8.67702154003329e-05,1.9416279437787662,False,True
WASP-12 b,Transmission,507,1680,Changeat et al. 2022,Swain et al. 2013,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,24.0,0.0,0.04518288684479949,0.0021028397786017794,74.52973879067567,23.0,2.3832201809317034e-07,3.2404234256815507,-0.04514656759663882,0.015069640800640804,3.2479786672072976e-06,2.979752196744006,False,True
HD 189733 b,Eclipse,899,900,Inglis et al. 2024,Inglis et al. 2024,Mid-Infrared Instrument (MIRI) - LRS,Mid-Infrared Instrument (MIRI) - LRS,True,independent,True,33.0,33.0,-0.0019775969664541405,0.0007187373458055232,88.38171562502976,32.0,3.5059840536819677e-07,2.76192861328218,4.221243965375423e-05,0.00047490806992000817,2.0325212095854506e-07,2.8507682255973092,False,True
WASP-107 b,Transmission,765,771,Sing et al. 2024,Welbanks et al. 2024,Near Infrared Spectrograph (NIRSpec),Near Infrared Camera (NIRCam),False,unknown,True,81.0,7.0,-0.0084135097295738,0.001257997559927461,158.25838335768879,80.0,4.420936535950965e-07,1.9782297919711098,-0.027138527546139248,0.003962887634061095,0.009638795446874347,1.4096323202475531,False,True
WASP-76 b,Eclipse,516,726,Mansfield et al. 2021,Fu et al. 2021,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,12.0,0.0,-0.010841487563504126,0.0014367805245987545,50.015784723359985,11.0,6.218635604511528e-07,4.546889520305453,-0.0424018222431745,0.011228910119093053,9.267804390539864e-05,3.5756628375567123,False,True
WASP-33 b,Eclipse,293,1678,Haynes et al. 2015,Haynes et al. 2015,Wide Field Camera 3,Wide Field Camera 3,True,same_obs,True,11.0,11.0,0.004361137795180193,0.002501183432727675,46.90101355043862,10.0,9.842323038011678e-07,4.690101355043862,-0.03285752212215679,0.0179568060361257,1.7060482119906539e-06,4.839201468980283,True,
WASP-39 b,Transmission,170,837,Wakeford et al. 2018,Carter et al. 2024,Wide Field Camera 3,Near Infrared Spectrograph (NIRSpec),False,unknown,True,16.0,1.0,-0.004884102071129485,0.0019873991439935466,55.81425100283761,15.0,1.30245650054652e-06,3.7209500668558406,-0.018563041083444295,0.009829395903478555,2.5530425091331835e-06,3.731980825509948,False,True
TOI-5205 b,Transmission,1600,1603,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,5.0,0.013948918936506566,0.0017899348734161265,624.8211111662223,468.0,1.5382730707590051e-06,1.3350878443722698,0.009849517935965769,0.0017807201178806733,5.7407883402268086e-05,1.2724345718567538,False,True
HD 189733 b,Transmission,795,897,Fu et al. 2024,Zhang et al. 2025,Near Infrared Camera (NIRCam),Near Infrared Camera (NIRCam),True,unknown,True,52.0,0.0,0.013572987206403812,0.00043671294787389734,112.29715041073938,51.0,1.6739286907574642e-06,2.2019049100144974,0.003446131386019268,0.0006687428604979294,0.0012395027513036469,1.714844182718759,False,True
WASP-107 b,Transmission,765,767,Sing et al. 2024,Welbanks et al. 2024,Near Infrared Spectrograph (NIRSpec),Near Infrared Camera (NIRCam),False,unknown,True,81.0,7.0,-0.009447976404881696,0.0012588133914950119,150.92549823810955,80.0,2.840667419227114e-06,1.8865687279763694,-0.02704348685770249,0.003968603213425791,0.029034110356655565,1.3226583573568451,False,True
WASP-19 b,Transmission,285,1672,Sedaghati et al. 2015,Sedaghati et al. 2017,FORS2,FORS2,True,unknown,True,27.0,0.0,-0.04862356514576016,0.006807844280633055,71.85106937717926,26.0,3.5538217191245243e-06,2.7635026683530484,-0.2147278943233985,0.08798336390644805,1.5374232382057145e-05,2.6357911909708167,False,True
TOI-776 b,Transmission,952,953,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,105.0,0.0,-0.0026660032196372586,0.00046263609221899616,180.82421586926412,104.0,4.563701075338067e-06,1.7386943833583088,0.005542721816038065,0.0008419157628317403,0.013131450345229565,1.3347788574314858,False,True
TOI-260 b,Transmission,1761,1762,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,104.0,104.0,-0.0014620684256258147,0.0004211403634496186,178.47001411102917,103.0,5.772898367578477e-06,1.732718583602225,0.0060643042150418805,0.0007755357906856033,0.14238582445495548,1.150248936452688,False,True
WASP-121 b,Eclipse,123,1771,Mikal-Evans et al. 2020,Pelletier et al. 2026,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,28.0,0.0,0.003174761643417083,0.0011515033510134628,71.7166369045908,27.0,6.361024640280277e-06,2.6561717372070666,0.060024827408449624,0.008025055906260245,0.9415548663066892,0.6065794774876084,False,True
WASP-80 b,Transmission,890,1062,Wong et al. 2022,Sedaghati et al. 2017,Space Telescope Imaging Spectrograph,FORS2,False,unknown,True,5.0,0.0,0.018964068023853975,0.010018668893007562,28.895973221338075,4.0,8.207124558895577e-06,7.223993305334519,-0.9967428354959434,0.19492749924380928,0.4319502841777467,0.9163614119586372,False,True
WASP-18 b,Eclipse,61,614,Coulombe et al. 2023,Changeat et al. 2022,Near Infrared Imager and Slitless Spectrograph (NIRISS),Wide Field Camera 3,False,unknown,True,25.0,0.0,-0.004093095411946852,0.0007687003839302794,66.0893494050176,24.0,8.413607451588439e-06,2.7537228918757335,-0.034962158180626195,0.005378317069297323,0.4131673227349974,1.0361679442645033,False,True
WASP-19 b,Transmission,285,1673,Sedaghati et al. 2015,Sedaghati et al. 2017,FORS2,FORS2,True,unknown,True,8.0,0.0,-0.11061413562956787,0.011208455337014164,35.416645031642474,7.0,9.337800599436512e-06,5.059520718806068,-2.390260839664028,0.4762626631368581,0.11535641218355486,1.7047370930191146,False,True
TOI-5205 b,Transmission,1602,1605,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,0.0,0.021452431303863713,0.0024320435207709082,610.3546055960901,468.0,9.694381412725107e-06,1.304176507683953,0.009930724682528041,0.0024791691055440603,5.6871118377684016e-05,1.2726107951386934,False,True
WASP-12 b,Transmission,250,1680,Kreidberg et al. 2015,Swain et al. 2013,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,8.0,0.0,-0.0045956279437203915,0.0023319501416076416,34.97637422358474,7.0,1.129935749963867e-05,4.9966248890835345,-0.05021927089775967,0.016148204557453024,0.0002997949499560578,4.217484657350768,False,True
TOI-776 b,Transmission,951,952,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,105.0,105.0,0.002677338640063935,0.0004581891583160179,176.4488329453719,104.0,1.2013073964800967e-05,1.6966233937054989,-0.004992797448081735,0.000832939636991596,0.008290414237795855,1.3642576068356558,False,True
WASP-121 b,Eclipse,518,1771,Mansfield et al. 2021,Pelletier et al. 2026,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,14.0,0.0,0.003267988483899615,0.0009637703627206485,46.391853778947976,13.0,1.223368185373615e-05,3.568604136842152,0.041540887244044915,0.006600112233528983,0.8719390572666735,0.5648196463981504,False,True
HIP 41378 f,Transmission,665,1016,Edwards et al. 2023,Alam et al. 2022,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,25.0,0.0,0.0002810794591094428,0.0015886030153003043,64.62802772589941,24.0,1.3799414541266503e-05,2.6928344885791424,-0.0625292958939336,0.011272012457740106,0.06727768120815703,1.4719752265997488,False,True
HAT-P-1 b,Transmission,20,22,Wilson et al. 2015,Sing et al. 2016,OSIRIS,Space Telescope Imaging Spectrograph,False,unknown,True,6.0,6.0,-0.10452419858321858,0.019084864163718795,29.962921395557792,5.0,1.499850327469601e-05,5.992584279111559,-0.20804312268522898,0.3020315608117125,6.219908005733079e-06,7.372114674495822,False,True
TRAPPIST-1 c,Transmission,988,1008,Radica et al. 2025,Rathcke et al. 2025,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,25.0,0.0,0.006345023358159154,0.0027873538702757306,63.711359273922994,24.0,1.877282132063606e-05,2.6546399697467913,-0.030317888818952157,0.006577557978651385,0.008007893474623662,1.8463383347664828,False,True
WASP-121 b,Transmission,639,1700,Wilson et al. 2021,Evans et al. 2018,GMOS,Wide Field Camera 3,False,unknown,True,29.0,1.0,-0.022699996337933518,0.004932442798284598,69.90369578438958,28.0,1.9195644645318417e-05,2.4965605637281993,0.20348998562632767,0.04805786241208904,0.0026706190765041506,1.9249870270421876,False,True
WASP-76 b,Eclipse,405,516,Edwards et al. 2020,Mansfield et al. 2021,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,13.0,0.0,-0.009212320749134036,0.0014079819632961668,42.82197149161231,12.0,2.420179899609081e-05,3.568497624301026,0.030781177596484063,0.010327784951114236,0.0003700857826334823,3.085367689339098,False,True
WASP-76 b,Eclipse,516,653,Mansfield et al. 2021,Changeat et al. 2022,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,13.0,0.0,0.009212320749134036,0.0014079819632961668,42.82197149161231,12.0,2.420179899609081e-05,3.568497624301026,-0.030781177596484063,0.010327784951114236,0.0003700857826334823,3.085367689339098,False,True
WASP-107 b,Transmission,550,765,Dyrek et al. 2024,Sing et al. 2024,Mid-Infrared Instrument (MIRI) - LRS,Near Infrared Spectrograph (NIRSpec),False,unknown,True,4.0,0.0,0.038084933612373716,0.0039044730510630074,23.898962487509007,3.0,2.6223115423867143e-05,7.9663208291696685,-0.048090310524098755,0.023779181850766953,4.994987874481531e-05,9.904490480403883,False,True
