pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant,pair_class
WASP-107 b,Transmission,765,771,Sing et al. 2024,Welbanks et al. 2024,Near Infrared Spectrograph (NIRSpec),Near Infrared Camera (NIRCam),False,unknown,True,81.0,7.0,-0.0084135097295738,0.0012579975599274,158.2583833576888,80.0,4.420936535950965e-07,1.9782297919711096,-0.0271385275461392,0.003962887634061,0.0096387954468743,1.4096323202475531,False,True,cross_paper
WASP-76 b,Eclipse,516,726,Mansfield et al. 2021,Fu et al. 2021,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,12.0,0.0,-0.0108414875635041,0.0014367805245987,50.01578472335999,11.0,6.218635604511528e-07,4.546889520305453,-0.0424018222431745,0.011228910119093,9.267804390539864e-05,3.5756628375567123,False,True,cross_paper
WASP-33 b,Eclipse,293,1678,Haynes et al. 2015,Haynes et al. 2015,Wide Field Camera 3,Wide Field Camera 3,True,same_obs,True,11.0,11.0,0.0043611377951801,0.0025011834327276,46.90101355043862,10.0,9.842323038011678e-07,4.690101355043862,-0.0328575221221567,0.0179568060361257,1.706048211990654e-06,4.839201468980283,True,,within_paper_other
WASP-39 b,Transmission,170,837,Wakeford et al. 2018,Carter et al. 2024,Wide Field Camera 3,Near Infrared Spectrograph (NIRSpec),False,unknown,True,16.0,1.0,-0.0048841020711294,0.0019873991439935,55.81425100283761,15.0,1.30245650054652e-06,3.7209500668558406,-0.0185630410834442,0.0098293959034785,2.5530425091331835e-06,3.731980825509948,False,True,cross_paper
TOI-5205 b,Transmission,1600,1603,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,5.0,0.0139489189365065,0.0017899348734161,624.8211111662223,468.0,1.5382730707590051e-06,1.3350878443722698,0.0098495179359657,0.0017807201178806,5.7407883402268086e-05,1.2724345718567538,False,True,derived
HD 189733 b,Transmission,795,897,Fu et al. 2024,Zhang et al. 2025,Near Infrared Camera (NIRCam),Near Infrared Camera (NIRCam),True,unknown,True,52.0,0.0,0.0135729872064038,0.0004367129478738,112.29715041073938,51.0,1.6739286907574642e-06,2.2019049100144974,0.0034461313860192,0.0006687428604979,0.0012395027513036,1.714844182718759,False,True,cross_paper
WASP-107 b,Transmission,765,767,Sing et al. 2024,Welbanks et al. 2024,Near Infrared Spectrograph (NIRSpec),Near Infrared Camera (NIRCam),False,unknown,True,81.0,7.0,-0.0094479764048816,0.001258813391495,150.92549823810955,80.0,2.840667419227114e-06,1.8865687279763692,-0.0270434868577024,0.0039686032134257,0.0290341103566555,1.3226583573568451,False,True,cross_paper
WASP-19 b,Transmission,285,1672,Sedaghati et al. 2015,Sedaghati et al. 2017,FORS2,FORS2,True,unknown,True,27.0,0.0,-0.0486235651457601,0.006807844280633,71.85106937717926,26.0,3.5538217191245243e-06,2.7635026683530484,-0.2147278943233985,0.087983363906448,1.5374232382057145e-05,2.6357911909708167,False,True,cross_paper
TOI-776 b,Transmission,952,953,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,105.0,0.0,-0.0026660032196372,0.0004626360922189,180.8242158692641,104.0,4.563701075338067e-06,1.7386943833583088,0.005542721816038,0.0008419157628317,0.0131314503452295,1.3347788574314858,False,True,epoch_same_pipeline
TOI-260 b,Transmission,1761,1762,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,104.0,104.0,-0.0014620684256258,0.0004211403634496,178.47001411102917,103.0,5.772898367578477e-06,1.732718583602225,0.0060643042150418,0.0007755357906856,0.1423858244549554,1.150248936452688,False,True,epoch_diff_pipeline
WASP-121 b,Eclipse,123,1771,Mikal-Evans et al. 2020,Pelletier et al. 2026,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,28.0,0.0,0.003174761643417,0.0011515033510134,71.7166369045908,27.0,6.361024640280277e-06,2.6561717372070666,0.0600248274084496,0.0080250559062602,0.9415548663066892,0.6065794774876084,False,True,cross_paper
